dtm,f
2024-01-01 00:00:00,50.096
2024-01-01 00:00:01,50.089
2024-01-01 00:00:02,50.079
2024-01-01 00:00:03,50.068
2024-01-01 00:00:04,50.06
2024-01-01 00:00:05,50.058
2024-01-01 00:00:06,50.059
2024-01-01 00:00:07,50.057
2024-01-01 00:00:08,50.057
2024-01-01 00:00:09,50.057
2024-01-01 00:00:10,50.055
2024-01-01 00:00:11,50.049
2024-01-01 00:00:12,50.043
2024-01-01 00:00:13,50.039
2024-01-01 00:00:14,50.036
2024-01-01 00:00:15,50.037
2024-01-01 00:00:16,50.034
2024-01-01 00:00:17,50.034
2024-01-01 00:00:18,50.037
2024-01-01 00:00:19,50.036
2024-01-01 00:00:20,50.033
2024-01-01 00:00:21,50.032
2024-01-01 00:00:22,50.031
2024-01-01 00:00:23,50.028
2024-01-01 00:00:24,50.027
2024-01-01 00:00:25,50.029
2024-01-01 00:00:26,50.028
2024-01-01 00:00:27,50.027
2024-01-01 00:00:28,50.027
2024-01-01 00:00:29,50.03
2024-01-01 00:00:30,50.032
2024-01-01 00:00:31,50.031
2024-01-01 00:00:32,50.029
2024-01-01 00:00:33,50.027
2024-01-01 00:00:34,50.024
2024-01-01 00:00:35,50.021
2024-01-01 00:00:36,50.018
2024-01-01 00:00:37,50.019
2024-01-01 00:00:38,50.018
2024-01-01 00:00:39,50.017
2024-01-01 00:00:40,50.018
2024-01-01 00:00:41,50.018
2024-01-01 00:00:42,50.021
2024-01-01 00:00:43,50.023
2024-01-01 00:00:44,50.026
2024-01-01 00:00:45,50.024
2024-01-01 00:00:46,50.024
2024-01-01 00:00:47,50.022
2024-01-01 00:00:48,50.024
2024-01-01 00:00:49,50.026
2024-01-01 00:00:50,50.025
2024-01-01 00:00:51,50.022
2024-01-01 00:00:52,50.022
2024-01-01 00:00:53,50.019
2024-01-01 00:00:54,50.013
2024-01-01 00:00:55,50.013
2024-01-01 00:00:56,50.014
2024-01-01 00:00:57,50.016
2024-01-01 00:00:58,50.017
2024-01-01 00:00:59,50.017
2024-01-01 00:01:00,50.021
2024-01-01 00:01:01,50.017
2024-01-01 00:01:02,50.015
2024-01-01 00:01:03,50.012
2024-01-01 00:01:04,50.014
2024-01-01 00:01:05,50.013
2024-01-01 00:01:06,50.012
2024-01-01 00:01:07,50.011
2024-01-01 00:01:08,50.011
2024-01-01 00:01:09,50.008
2024-01-01 00:01:10,50.005
2024-01-01 00:01:11,50.001
2024-01-01 00:01:12,49.997
2024-01-01 00:01:13,49.996
2024-01-01 00:01:14,49.991
2024-01-01 00:01:15,49.991
2024-01-01 00:01:16,49.99
2024-01-01 00:01:17,49.989
2024-01-01 00:01:18,49.986
2024-01-01 00:01:19,49.985
2024-01-01 00:01:20,49.986
2024-01-01 00:01:21,49.981
2024-01-01 00:01:22,49.979
2024-01-01 00:01:23,49.978
2024-01-01 00:01:24,49.977
2024-01-01 00:01:25,49.976
2024-01-01 00:01:26,49.976
2024-01-01 00:01:27,49.979
2024-01-01 00:01:28,49.981
2024-01-01 00:01:29,49.982
2024-01-01 00:01:30,49.981
2024-01-01 00:01:31,49.984
2024-01-01 00:01:32,49.983
2024-01-01 00:01:33,49.984
2024-01-01 00:01:34,49.987
2024-01-01 00:01:35,49.989
2024-01-01 00:01:36,49.989
2024-01-01 00:01:37,49.987
2024-01-01 00:01:38,49.981
2024-01-01 00:01:39,49.979
2024-01-01 00:01:40,49.978
2024-01-01 00:01:41,49.976
2024-01-01 00:01:42,49.972
2024-01-01 00:01:43,49.973
2024-01-01 00:01:44,49.972
2024-01-01 00:01:45,49.976
2024-01-01 00:01:46,49.983
2024-01-01 00:01:47,49.987
2024-01-01 00:01:48,49.99
2024-01-01 00:01:49,49.991
