auctionID,auctionProduct,serviceType,deliveryStart,deliveryEnd,clearedVolume,clearingPrice
1,DRH,Response,2023-11-02T23:00:00,2023-11-03T03:00:00,175.0,2.75
1,DRH,Response,2023-11-03T03:00:00,2023-11-03T07:00:00,239.0,4.04
1,DRH,Response,2023-11-03T07:00:00,2023-11-03T11:00:00,290.0,-3.3
1,DRH,Response,2023-11-03T11:00:00,2023-11-03T15:00:00,290.0,-3.53
1,DRH,Response,2023-11-03T15:00:00,2023-11-03T19:00:00,290.0,-5.81
1,DRH,Response,2023-11-03T19:00:00,2023-11-03T23:00:00,290.0,-4.5
1,DML,Response,2023-11-02T23:00:00,2023-11-03T03:00:00,150.0,2.07
1,DML,Response,2023-11-03T03:00:00,2023-11-03T07:00:00,150.0,2.12
1,DML,Response,2023-11-03T07:00:00,2023-11-03T11:00:00,150.0,5.77
1,DML,Response,2023-11-03T11:00:00,2023-11-03T15:00:00,150.0,4.02
1,DML,Response,2023-11-03T15:00:00,2023-11-03T19:00:00,141.0,8.23
1,DML,Response,2023-11-03T19:00:00,2023-11-03T23:00:00,150.0,5.95
1,DCH,Response,2023-11-02T23:00:00,2023-11-03T03:00:00,1195.0,3.86
1,DCH,Response,2023-11-03T03:00:00,2023-11-03T07:00:00,1200.0,5.64
1,DCH,Response,2023-11-03T07:00:00,2023-11-03T11:00:00,1091.0,1.78
1,DCH,Response,2023-11-03T11:00:00,2023-11-03T15:00:00,1076.0,2.3
1,DCH,Response,2023-11-03T15:00:00,2023-11-03T19:00:00,1037.0,1.96
1,DCH,Response,2023-11-03T19:00:00,2023-11-03T23:00:00,1058.0,1.86
1,DRL,Response,2023-11-02T23:00:00,2023-11-03T03:00:00,270.0,3.33
1,DRL,Response,2023-11-03T03:00:00,2023-11-03T07:00:00,270.0,5.79
1,DRL,Response,2023-11-03T07:00:00,2023-11-03T11:00:00,167.0,13.3
1,DRL,Response,2023-11-03T11:00:00,2023-11-03T15:00:00,167.0,9.53
1,DRL,Response,2023-11-03T15:00:00,2023-11-03T19:00:00,167.0,15.6
1,DRL,Response,2023-11-03T19:00:00,2023-11-03T23:00:00,167.0,12.81
1,DCL,Response,2023-11-02T23:00:00,2023-11-03T03:00:00,965.0,0.26
1,DCL,Response,2023-11-03T03:00:00,2023-11-03T07:00:00,976.0,0.2
1,DCL,Response,2023-11-03T07:00:00,2023-11-03T11:00:00,941.0,2.28
1,DCL,Response,2023-11-03T11:00:00,2023-11-03T15:00:00,901.0,1.36
1,DCL,Response,2023-11-03T15:00:00,2023-11-03T19:00:00,926.0,3.25
1,DCL,Response,2023-11-03T19:00:00,2023-11-03T23:00:00,940.0,1.39
1,DMH,Response,2023-11-02T23:00:00,2023-11-03T03:00:00,150.0,5.37
1,DMH,Response,2023-11-03T03:00:00,2023-11-03T07:00:00,150.0,7.0
1,DMH,Response,2023-11-03T07:00:00,2023-11-03T11:00:00,155.0,0.15
1,DMH,Response,2023-11-03T11:00:00,2023-11-03T15:00:00,150.0,1.75
1,DMH,Response,2023-11-03T15:00:00,2023-11-03T19:00:00,164.0,-0.23
1,DMH,Response,2023-11-03T19:00:00,2023-11-03T23:00:00,168.0,-0.86
2,DRH,Response,2023-11-03T23:00:00,2023-11-04T03:00:00,290.0,-7.84
2,DRH,Response,2023-11-04T03:00:00,2023-11-04T07:00:00,290.0,-4.09
2,DRH,Response,2023-11-04T07:00:00,2023-11-04T11:00:00,290.0,-5.85
2,DRH,Response,2023-11-04T11:00:00,2023-11-04T15:00:00,290.0,-4.98
2,DRH,Response,2023-11-04T15:00:00,2023-11-04T19:00:00,290.0,-6.52
2,DRH,Response,2023-11-04T19:00:00,2023-11-04T23:00:00,290.0,-6.64
2,DML,Response,2023-11-03T23:00:00,2023-11-04T03:00:00,150.0,2.15
2,DML,Response,2023-11-04T03:00:00,2023-11-04T07:00:00,150.0,2.45
2,DML,Response,2023-11-04T07:00:00,2023-11-04T11:00:00,150.0,2.95
2,DML,Response,2023-11-04T11:00:00,2023-11-04T15:00:00,150.0,4.0
2,DML,Response,2023-11-04T15:00:00,2023-11-04T19:00:00,150.0,8.56
2,DML,Response,2023-11-04T19:00:00,2023-11-04T23:00:00,150.0,4.95
2,DCH,Response,2023-11-03T23:00:00,2023-11-04T03:00:00,1133.0,2.15
2,DCH,Response,2023-11-04T03:00:00,2023-11-04T07:00:00,1154.0,3.29
2,DCH,Response,2023-11-04T07:00:00,2023-11-04T11:00:00,1084.0,1.89
2,DCH,Response,2023-11-04T11:00:00,2023-11-04T15:00:00,1023.0,2.86
2,DCH,Response,2023-11-04T15:00:00,2023-11-04T19:00:00,974.0,1.41
2,DCH,Response,2023-11-04T19:00:00,2023-11-04T23:00:00,1000.0,1.55
2,DRL,Response,2023-11-03T23:00:00,2023-11-04T03:00:00,270.0,11.42
2,DRL,Response,2023-11-04T03:00:00,2023-11-04T07:00:00,220.0,9.48
2,DRL,Response,2023-11-04T07:00:00,2023-11-04T11:00:00,221.0,10.76
2,DRL,Response,2023-11-04T11:00:00,2023-11-04T15:00:00,221.0,10.3
2,DRL,Response,2023-11-04T15:00:00,2023-11-04T19:00:00,221.0,16.3
2,DRL,Response,2023-11-04T19:00:00,2023-11-04T23:00:00,235.0,12.0
2,DCL,Response,2023-11-03T23:00:00,2023-11-04T03:00:00,924.0,0.75
2,DCL,Response,2023-11-04T03:00:00,2023-11-04T07:00:00,940.0,0.07
2,DCL,Response,2023-11-04T07:00:00,2023-11-04T11:00:00,922.0,1.05
2,DCL,Response,2023-11-04T11:00:00,2023-11-04T15:00:00,749.0,0.28
2,DCL,Response,2023-11-04T15:00:00,2023-11-04T19:00:00,894.0,4.49
